date,symbol,asset_type,strategy,position,close
2025-02-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,2074.177734375
2025-02-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2168.458740234375
2025-02-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2271.310546875
2025-02-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,2297.0234375
2025-02-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,2288.45263671875
2025-02-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2288.45263671875
2025-02-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,2271.310546875
2025-02-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,2228.45556640625
2025-02-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,2108.4619140625
2025-02-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,2159.8876953125
2025-02-27,TLKM,stock_id,Buy & Hold (benchmark),1.0,2134.1748046875
2025-02-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,2014.18115234375
2025-03-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,2057.0361328125
2025-03-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,2039.89404296875
2025-03-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,2099.890869140625
2025-03-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,2057.0361328125
2025-03-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,2065.60693359375
2025-03-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,2048.46484375
2025-03-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,2031.3228759765625
2025-03-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,2099.890869140625
2025-03-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,2082.7490234375
2025-03-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,2074.177734375
2025-03-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,2074.177734375
2025-03-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,2074.177734375
2025-03-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,2082.7490234375
2025-03-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,2048.46484375
2025-03-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,1979.8970947265625
2025-03-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,1997.0390625
